FEMALE,MALE,HEIGHT,WEIGHT,HEAD_WIDTH,SHOULDER_WIDTH,WAIST_WIDTH,WAIST_LENGTH,HIP_WIDTH,HIP_LENGTH,THIGH_WIDTH,THIGH_LENGTH,KNEE_WIDTH,KNEE_LENGTH,WTR,WHpR,WHdR,HpHdR,WTR(Length),WHpR(Length),ShWR,ShHpR,ShThR
0,1,0.364662575,56.7,0.363842105,0.299479198,0.334842263,0.368813733,0.299749747,0.267576067,0.350638079,0.233249357,0.51104104,0.432250429,0.253615271,0.306119233,0.238648009,0.213793416,0.306246206,0.361864831,0.230162156,0.256172161,0.217528355
0,1,0.393098729,55.8,0.346552527,0.388371557,0.265549557,0.220137867,0.274859084,0.286067561,0.23714172,0.151016724,0.237995561,0.150492337,0.302211714,0.263080378,0.196240389,0.208914804,0.268203403,0.190207895,0.391403525,0.370041265,0.426594903
0,1,0.370952678,73.2,0.379649762,0.344259768,0.334209613,0.378293966,0.299344428,0.286527722,0.315271133,0.313839961,0.644263162,0.299996734,0.293272228,0.311929851,0.231682441,0.207124278,0.241197478,0.355746556,0.278392378,0.304607954,0.297886771
0,1,0.340230561,57.2,0.303357845,0.267852854,0.304123407,0.336883324,0.279886089,0.316507512,0.381048803,0.321754091,0.640529085,0.281804902,0.20586071,0.304290172,0.272267798,0.256308772,0.205942909,0.28325902,0.236207252,0.252537885,0.171508665
0,1,0.396650445,57.8,0.325534011,0.422242914,0.319436361,0.357885278,0.325969047,0.344753826,0.352381915,0.277125668,0.484245837,0.328446298,0.248781331,0.275121918,0.269531818,0.282055261,0.264330394,0.27784625,0.374483468,0.35734554,0.341487986
1,0,0.351926048,55.8,0.272129741,0.323063353,0.331877248,0.221573679,0.395344386,0.211661853,0.382845954,0.217337886,0.597390976,0.264641803,0.235947289,0.225607651,0.334314351,0.404927642,0.210296285,0.282520032,0.26911671,0.207999904,0.225170962
1,0,0.247823437,43.8,0.200671558,0.225675182,0.140134706,0.179631933,0.180489784,0.247335452,0.204333322,0.254673689,0.396417903,0.206692871,0.210740169,0.237053886,0.214947375,0.264583021,0.143962809,0.197947345,0.38646842,0.323124775,0.305506139
0,1,0.385418835,66.6,0.392836273,0.381201051,0.371446419,0.322196574,0.319941749,0.323244573,0.35348774,0.233924872,0.652988439,0.363695037,0.307464297,0.343663253,0.267167078,0.229066163,0.286388278,0.273173744,0.292339342,0.334115183,0.311288583
1,0,0.284252457,51.5,0.356376665,0.326545974,0.34848778,0.295749094,0.33197645,0.271264567,0.374252306,0.365796369,0.614972262,0.217302653,0.268054124,0.310180523,0.280757338,0.272682769,0.153721935,0.304749074,0.265259752,0.273374548,0.243923531
1,0,0.260037204,49.1,0.278643856,0.26956557,0.252226965,0.248731831,0.264318479,0.237084611,0.172447759,0.223230769,0.563053296,0.083147529,0.394619391,0.282155936,0.263959389,0.282831818,0.238823299,0.295083695,0.307621325,0.286097493,0.406880216
0,1,0.376509174,50.8,0.354315773,0.294132627,0.252972087,0.257924667,0.306192613,0.245929599,0.320248226,0.254800525,0.85473672,0.315657618,0.228773722,0.242323652,0.203845747,0.257220871,0.21897918,0.29787682,0.336331293,0.272007659,0.267520932
0,1,0.425920594,80.4,0.357125197,0.361660371,0.447289215,0.425002279,0.453878427,0.42219889,0.493927599,0.452572965,1.00880084,0.360702369,0.261870207,0.296689942,0.377113512,0.392209656,0.189372012,0.285863955,0.220938447,0.210807708,0.188200277
1,0,0.347398457,66.3,0.281683135,0.3760679,0.500775902,0.417134187,0.469942443,0.384398201,0.377296336,0.364927691,0.767966185,0.312536451,0.424735776,0.332976509,0.512904108,0.494854813,0.252858294,0.31809013,0.195655007,0.213477851,0.29895781
0,1,0.459998905,69.1,0.416466358,0.412140161,0.40426096,0.281399267,0.416969107,0.267981937,0.411980894,0.348681242,0.699676383,0.383837341,0.299681192,0.29584853,0.293211831,0.311053893,0.166775805,0.306816253,0.308528718,0.289363266,0.30329798
0,1,0.425250988,76.7,0.396985,0.401676866,0.418361205,0.510728536,0.389863925,0.419069669,0.357346573,0.357714487,0.694052757,0.268875889,0.371015413,0.338485876,0.324603467,0.307269904,0.334561162,0.376510753,0.289072213,0.306904223,0.348805046
0,1,0.429746023,71.5,0.499304513,0.413109074,0.40300641,0.456905554,0.400606205,0.418451801,0.445866963,0.362558219,0.705757928,0.322047719,0.273264359,0.315552703,0.23572564,0.239103044,0.292298648,0.329700297,0.316411226,0.310211788,0.27998471
1,0,0.39199473,50,0.35882387,0.245575785,0.278264313,0.287172557,0.385575001,0.28482029,0.284547114,0.264775638,0.448604343,0.209630392,0.307833044,0.209071684,0.238547161,0.344439977,0.249273606,0.30161304,0.274290081,0.172611988,0.26918192
0,1,0.454025958,86.8,0.477904865,0.522701027,0.466037526,0.489492521,0.428252946,0.458392616,0.483489362,0.585640653,1.070732672,0.559931268,0.30287887,0.355228201,0.306944532,0.283013232,0.160238094,0.326423252,0.36223025,0.388214343,0.348497002
0,1,0.448736548,56.7,0.470944576,0.410312731,0.390417495,0.450772979,0.365186293,0.432543254,0.450464501,0.320502894,0.73758736,0.358884152,0.265666575,0.347399774,0.254127251,0.239094947,0.336176703,0.318383001,0.334374932,0.349923387,0.281777023
0,1,0.444808545,55,0.394156007,0.362941857,0.395642204,0.435016076,0.354099737,0.428183978,0.368738903,0.395354141,0.701763377,0.331341605,0.351208178,0.367474117,0.322778058,0.293086563,0.25834915,0.310517523,0.287113465,0.31798668,0.31440956
0,1,0.442248618,64.7,0.470977741,0.456210828,0.388503982,0.467037246,0.429140671,0.551295975,0.431461668,0.345671744,1.042024182,0.511252078,0.28581209,0.287682105,0.258015154,0.298167799,0.329623361,0.235286009,0.386306004,0.33674882,0.345925092
1,0,0.362203844,43.9,0.384924753,0.287302272,0.316382489,0.272277171,0.344902255,0.329298262,0.279815238,0.249026391,0.601881549,0.39459928,0.371147752,0.298709561,0.265472651,0.298565335,0.263996687,0.250477562,0.292776487,0.257524515,0.333455993
1,0,0.377516915,57.5,0.433428828,0.414753777,0.400479177,0.371165129,0.44172103,0.401610189,0.434281902,0.343582008,0.74325197,0.237098707,0.299850042,0.29296916,0.302800919,0.346429913,0.26085446,0.283122719,0.340255381,0.294134861,0.310717654
0,1,0.433721231,70.6,0.421478974,0.395822638,0.457001811,0.455502506,0.437276424,0.400238294,0.457213655,0.4621811,0.880345693,0.434685225,0.334885966,0.354457724,0.365014815,0.356230898,0.230726211,0.370589895,0.27416737,0.283621228,0.276201892
0,1,0.480314726,56.7,0.407691842,0.37594092,0.323007838,0.447605785,0.287368451,0.40269444,0.347325679,0.278341796,0.591365759,0.343563754,0.311410003,0.378746494,0.261076098,0.235038159,0.397064223,0.362770663,0.388524707,0.418533432,0.363700246
